description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
3 Flawless Gems + 1 Magic Weapon -> Socketed Magic Weapon	1			0					4	"weap,mag"	"gem3,qty=3"						"usetype,mag"	30		60	sock			1	2																																																																															0
1 Magic Shield + 1 Spiked Club + 2 Skulls (Any) -> Magic Shield of Spikes	1			0					4	"shld,mag"	"gemz,qty=2"	spc					"usetype,mag,suf=162"	30		60																																																																																				0
4 Healing Potions (Any) + 1 Standard Ruby + 1 Magic Sword -> Sword of the Leech	1			0					6	"swor,mag"	gemr	"hpot,qty=4"					"usetype,mag,suf=352"	30		60																																																																																				0
1 Diamond (Any) + 1 Kris + 1 Staff + 1 Belt -> Savage Polearm	1			0					4	kri	gemd	staf	belt				"pole,mag,pre=191"	50		60																																																																																				0
1 Strangling Gas Potion + 1 Healing Potion (Any) -> Antidote Potion	1			0					2	gpl	hpot						yps																																																																																							0
2 Arrows -> Bolts	0			0					2	"aqv,qty=2"							cqv																																																																																							0
2 Bolts -> Arrows	0			0					2	"cqv,qty=2"							aqv																																																																																							0
3 Chipped Amethysts -> Flawed Amethyst	1			0					3	"gcv,qty=3"							gfv																																																																																							0
3 Flawed Amethysts -> Standard Amethyst	1			0					3	"gfv,qty=3"							gsv																																																																																							0
3 Standard Amethysts -> Flawless Amethyst	1			0					3	"gsv,qty=3"							gzv																																																																																							0
3 Flawless Amethysts -> Perfect Amethyst	1			0					3	"gzv,qty=3"							gpv																																																																																							0
3 Chipped Rubies -> Flawed Ruby	1			0					3	"gcr,qty=3"							gfr																																																																																							0
3 Flawed Rubies -> Standard Ruby	1			0					3	"gfr,qty=3"							gsr																																																																																							0
3 Standard Rubies -> Flawless Ruby	1			0					3	"gsr,qty=3"							glr																																																																																							0
3 Flawless Rubies -> Perfect Ruby	1			0					3	"glr,qty=3"							gpr																																																																																							0
3 Chipped Sapphires -> Flawed Sapphire	1			0					3	"gcb,qty=3"							gfb																																																																																							0
3 Flawed Sapphires -> Standard Sapphire	1			0					3	"gfb,qty=3"							gsb																																																																																							0
3 Standard Sapphires -> Flawless Sapphire	1			0					3	"gsb,qty=3"							glb																																																																																							0
3 Flawless Sapphires -> Perfect Sapphire	1			0					3	"glb,qty=3"							gpb																																																																																							0
3 Chipped Topazes -> Flawed Topaz	1			0					3	"gcy,qty=3"							gfy																																																																																							0
3 Flawed Topazes -> Standard Topaz	1			0					3	"gfy,qty=3"							gsy																																																																																							0
3 Standard Topazes -> Flawless Topaz	1			0					3	"gsy,qty=3"							gly																																																																																							0
3 Flawless Topazes -> Perfect Topaz	1			0					3	"gly,qty=3"							gpy																																																																																							0
3 Chipped Emeralds -> Flawed Emerald	1			0					3	"gcg,qty=3"							gfg																																																																																							0
3 Flawed Emeralds -> Standard Emerald	1			0					3	"gfg,qty=3"							gsg																																																																																							0
3 Standard Emeralds -> Flawless Emerald	1			0					3	"gsg,qty=3"							glg																																																																																							0
3 Flawless Emeralds -> Perfect Emerald	1			0					3	"glg,qty=3"							gpg																																																																																							0
3 Chipped Diamonds -> Flawed Diamond	1			0					3	"gcw,qty=3"							gfw																																																																																							0
3 Flawed Diamonds -> Standard Diamond	1			0					3	"gfw,qty=3"							gsw																																																																																							0
3 Standard Diamonds -> Flawless Diamond	1			0					3	"gsw,qty=3"							glw																																																																																							0
3 Flawless Diamonds -> Perfect Diamond	1			0					3	"glw,qty=3"							gpw																																																																																							0
3 Chipped Skulls -> Flawed Skull	1			0					3	"skc,qty=3"							skf																																																																																							0
3 Flawed Skulls -> Standard Skull	1			0					3	"skf,qty=3"							sku																																																																																							0
3 Standard Skulls -> Flawless Skull	1			0					3	"sku,qty=3"							skl																																																																																							0
3 Flawless Skulls -> Perfect Skull	1			0					3	"skl,qty=3"							skz																																																																																							0
3 El Runes -> Eld Rune	1			100					3	"r01,qty=3"							r02																																																																																							0
3 Eld Runes -> Tir Rune	1			100					3	"r02,qty=3"							r03																																																																																							0
3 Tir Runes -> Nef Rune	1			100					3	"r03,qty=3"							r04																																																																																							0
3 Nef Runes -> Eth Rune	1			100					3	"r04,qty=3"							r05																																																																																							0
3 Eth Runes -> Ith Rune	1			100					3	"r05,qty=3"							r06																																																																																							0
3 Ith Runes -> Tal Rune	1			100					3	"r06,qty=3"							r07																																																																																							0
3 Tal Runes -> Ral Rune	1			100					3	"r07,qty=3"							r08																																																																																							0
3 Ral Runes -> Ort Rune	1			100					3	"r08,qty=3"							r09																																																																																							0
3 Ort Runes -> Thul Rune	1			100					3	"r09,qty=3"							r10																																																																																							0
3 Perfect Gems (Any) + 1 Magic Item -> Re-rolled Magic Item	1			100					4	"any,mag"	"gem4,qty=3"						"usetype,mag"			100																																																																																				0
6 Perfect Skulls + 1 Rare Item -> 1 Low Quality Rare Item	1			0					7	"any,rar"	"skz,qty=6"						"usetype,rar"		40	40																																																																																				0
1 Perfect Skull + 1 Rare Item + 1 Stone of Jordan -> 1 High Quality Rare Item	1			0					3	"any,rar"	skz	The Stone of Jordan					"usetype,rar"		66	66																																																																																				0
3 Perfect Skull + 1 Rare Item + 1 Stone of Jordan -> Add 1 Socket to Rare Item	1			0					5	"any,rar,nos"	"skz,qty=3"	The Stone of Jordan					"useitem,sock=1"																																																																																							0
1 Magic Full Helm + 1 Jewel + 1 Ith Rune + 1 Perfect Sapphire -> Hit Power Helm	1			100					4	"helm,mag,upg"	jew	r06	gpb				"usetype,crf"			100	gethit-skill		44	5	4	thorns			3	7	ac-miss			25	50																																																																					0
1 Magic Chain Boots + 1 Jewel + 1 Ral Rune + 1 Perfect Sapphire -> Hit Power Boots	1			100					4	"boot,mag,upg"	jew	r08	gpb				"usetype,crf"			100	gethit-skill		44	5	4	thorns			3	7	ac-hth			25	60																																																																					0
1 Magic Chain Gloves + 1 Jewel + 1 Ort Rune + 1 Perfect Sapphire -> Hit Power Gloves	1			100					4	"glov,mag,upg"	jew	r09	gpb				"usetype,crf"			100	gethit-skill		44	5	4	thorns			3	7	knock			1	1																																																																					0
1 Magic Heavy Belt + 1 Jewel + 1 Tal Rune + 1 Perfect Sapphire -> Hit Power Belt	1			100					4	"belt,mag,upg"	jew	r07	gpb				"usetype,crf"			100	gethit-skill		44	5	4	thorns			3	7	dmg-to-mana			5	10																																																																					0
1 Magic Gothic Shield + 1 Jewel + 1 Eth Rune + 1 Perfect Sapphire -> Hit Power Shield	1			100					4	"shie,mag,upg"	jew	r05	gpb				"usetype,crf"			100	gethit-skill		44	5	4	thorns			3	10	block			5	10																																																																					0
1 Magic Field Plate + 1 Jewel + 1 Nef Rune + 1 Perfect Sapphire -> Hit Power Body	1			100					4	"tors,mag,upg"	jew	r04	gpb				"usetype,crf"			100	gethit-skill		44	5	4	thorns			3	10	balance1			10	20																																																																					0
1 Magic Amulet + 1 Jewel + Thul Rune + 1 Perfect Sapphire -> Hit Power Amulet	1			100					4	"amul,mag"	jew	r10	gpb				"usetype,crf"			100	gethit-skill		44	5	4	thorns			3	10	howl			5	15																																																																					0
1 Magic Ring + 1 Jewel + 1 Amn Rune + 1 Perfect Sapphire -> Hit Power Ring	1			100					4	"ring,mag"	jew	r11	gpb				"usetype,crf"			100	gethit-skill		44	5	4	thorns			3	6	dex			1	5																																																																					0
1 Magic Blunt Weapon + 1 Jewel + 1 Tir Rune + 1 Perfect Sapphire -> Hit Power Weapon	1			100					4	"weap,mag"	jew	r03	gpb				"usetype,crf"			100	gethit-skill		44	5	4	thorns			3	7	dmg%			35	60																																																																					0
1 Magic Helm + 1 Jewel + 1 Ral Rune + 1 Perfect Ruby -> Blood Helm	1			100					4	"helm,mag,upg"	jew	r08	gpr				"usetype,crf"			100	lifesteal			1	3	hp			10	20	deadly			5	10																																																																					0
1 Magic Light Plated Boots + 1 Jewel + 1 Eth Rune + 1 Perfect Ruby -> Blood Boots	1			100					4	"boot,mag,upg"	jew	r05	gpr				"usetype,crf"			100	lifesteal			1	3	hp			10	20	regen			5	10																																																																					0
1 Magic Heavy Gloves + 1 Jewel + 1 Nef Rune + 1 Perfect Ruby -> Blood Gloves	1			100					4	"glov,mag,upg"	jew	r04	gpr				"usetype,crf"			100	lifesteal			1	3	hp			10	20	crush			5	10																																																																					0
1 Magic Belt + 1 Jewel + 1 Tal Rune + 1 Perfect Ruby -> Blood Belt	1			100					4	"belt,mag,upg"	jew	r07	gpr				"usetype,crf"			100	lifesteal			1	3	hp			10	20	openwounds			5	10																																																																					0
1 Magic Spiked Shield + 1 Jewel + 1 Ith Rune + 1 Perfect Ruby -> Blood Shield	1			100					4	"shie,mag,upg"	jew	r06	gpr				"usetype,crf"			100	lifesteal			1	3	hp			10	20	thorns			4	7																																																																					0
1 Magic Plate Mail + 1 Jewel + 1 Thul Rune + 1 Perfect Ruby -> Blood Body	1			100					4	"tors,mag,upg"	jew	r10	gpr				"usetype,crf"			100	lifesteal			1	3	hp			10	20	demon-heal			1	3																																																																					0
1 Magic Amulet + 1 Jewel + 1 Amn Rune + 1 Perfect Ruby -> Blood Amulet	1			100					4	"amul,mag"	jew	r11	gpr				"usetype,crf"			100	lifesteal			1	4	hp			10	20	move1			5	10																																																																					0
1 Magic Ring + 1 Jewel + 1 Sol Rune + 1 Perfect Ruby -> Blood Ring	1			100					4	"ring,mag"	jew	r12	gpr				"usetype,crf"			100	lifesteal			1	3	hp			10	20	str			1	5																																																																					0
1 Magic Axe + 1 Jewel + Ort Rune + 1 Perfect Ruby -> Blood Weapon	1			100					4	"weap,mag"	jew	r09	gpr				"usetype,crf"			100	lifesteal			1	4	hp			10	20	dmg%			35	60																																																																					0
1 Magic Mask + 1 Jewel + Nef Rune + 1 Perfect Amethyst -> Caster Helm	1			100					4	"helm,mag,upg"	jew	r04	gpv				"usetype,crf"			100	regen-mana			4	10	mana			10	20	manasteal			1	4																																																																					0
1 Magic Boots + 1 Jewel + Thul Rune + 1 Perfect Amethyst -> Caster Boots	1			100					4	"boot,mag,upg"	jew	r10	gpv				"usetype,crf"			100	regen-mana			4	10	mana			10	20	mana%			2	5																																																																					0
1 Magic Leather Gloves + 1 Jewel + Ort Rune + 1 Perfect Amethyst -> Caster Gloves	1			100					4	"glov,mag,upg"	jew	r09	gpv				"usetype,crf"			100	regen-mana			4	10	mana			10	20	mana-kill			1	3																																																																					0
1 Magic Light Belt + 1 Jewel + Ith Rune + 1 Perfect Amethyst -> Caster Belt	1			100					4	"belt,mag,upg"	jew	r06	gpv				"usetype,crf"			100	regen-mana			4	10	mana			10	20	cast1			5	10																																																																					0
1 Magic Small Shield + 1 Jewel + 1 Eth Rune + 1 Perfect Amethyst -> Caster Shield	1			100					4	"shie,mag,upg"	jew	r05	gpv				"usetype,crf"			100	regen-mana			4	10	mana			10	20	block			5	10																																																																					0
1 Magic Light Plate + 1 Jewel + 1 Tal Rune + 1 Perfect Amethyst -> Caster Body	1			100					4	"tors,mag,upg"	jew	r07	gpv				"usetype,crf"			100	regen-mana			4	10	mana			10	20	mana-kill			1	3																																																																					0
1 Magic Amulet + 1 Jewel + 1 Ral Rune + 1 Perfect Amethyst -> Caster Amulet	1			100					4	"amul,mag"	jew	r08	gpv				"usetype,crf"			100	regen-mana			4	10	mana			10	20	cast1			5	10																																																																					0
1 Magic Ring + 1 Jewel + 1 Amn Rune + 1 Perfect Amethyst -> Caster Ring	1			100					4	"ring,mag"	jew	r11	gpv				"usetype,crf"			100	regen-mana			4	10	mana			10	20	enr			1	5																																																																					0
1 Magic Rod + 1 Jewel + 1 Tir Rune + 1 Perfect Amethyst -> Caster Weapon	1			100					4	"weap,mag"	jew	r03	gpv				"usetype,crf"			100	regen-mana			4	10	mana			10	20	mana%			1	5																																																																					0
1 Magic Crown + 1 Jewel + 1 Ith Rune + 1 Perfect Emerald -> Safety Helm	1			100					4	"helm,mag,upg"	jew	r06	gpg				"usetype,crf"			100	red-dmg			1	4	red-mag			1	2	res-ltng			5	10	ac%			10	30																																																																0
1 Magic Plated Boots + 1 Jewel + 1 Ort Rune + 1 Perfect Emerald -> Safety Boots	1			100					4	"boot,mag,upg"	jew	r09	gpg				"usetype,crf"			100	red-dmg			1	4	red-mag			1	2	res-fire			5	10	ac%			10	30																																																																0
1 Magic Gauntlets + 1 Jewel + 1 Ral Rune + 1 Perfect Emerald -> Safety Gloves	1			100					4	"glov,mag,upg"	jew	r08	gpg				"usetype,crf"			100	red-dmg			1	4	red-mag			1	2	res-cold			5	10	ac%			10	30																																																																0
1 Magic Sash + 1 Jewel + 1 Tal Rune + 1 Perfect Emerald -> Safety Belt	1			100					4	"belt,mag,upg"	jew	r07	gpg				"usetype,crf"			100	red-dmg			1	4	red-mag			1	2	res-pois			5	10	ac%			10	30																																																																0
1 Magic Kite Shield + 1 Jewel + 1 Nef Rune + 1 Perfect Emerald -> Safety Shield	1			100					4	"shie,mag,upg"	jew	r04	gpg				"usetype,crf"			100	red-dmg			1	4	red-mag			1	2	res-mag			5	10	ac%			10	30																																																																0
1 Magic Breast Plate + 1 Jewel + 1 Eth Rune + 1 Perfect Emerald -> Safety Body	1			100					4	"tors,mag,upg"	jew	r05	gpg				"usetype,crf"			100	red-dmg			1	4	red-mag			1	2	half-freeze			1	1	ac%			10	30																																																																0
1 Magic Amulet + 1 Jewel + 1 Thul Rune + 1 Perfect Emerald -> Safety Amulet	1			100					4	"amul,mag"	jew	r10	gpg				"usetype,crf"			100	red-dmg			1	4	red-mag			1	2	block			1	10																																																																					0
1 Magic Ring + 1 Jewel + 1 Amn Rune + 1 Perfect Emerald -> Safety Ring	1			100					4	"ring,mag"	jew	r11	gpg				"usetype,crf"			100	red-dmg			1	4	red-mag			1	2	vit			1	5																																																																					0
1 Magic Weapon + 1 Jewel + 1 Sol Rune + 1 Perfect Emerald -> Safety Weapon	1			100					4	"weap,mag"	jew	r12	gpg				"usetype,crf"			100	red-dmg			1	4	red-mag			1	2	ac%			5	10																																																																					0
1 Magic Helm + 1 Jewel + 1 Shael Rune + 1 Perfect Topaz -> Speed Helm	1			100					4	"helm,mag,upg"	jew	r13	gpy				"usetype,crf"			100	balance1			10	20	move1			5	10	ac			10	20																																																																					0
1 Magic Boots + 1 Jewel + 1 Ko Rune + 1 Perfect Topaz -> Speed Boots	1			100					4	"boot,mag,upg"	jew	r18	gpy				"usetype,crf"			100	move1			20	30	dodge-all			5	10	ac			15	25																																																																					0
1 Magic Gloves + 1 Jewel + 1 Tal Rune + 1 Perfect Topaz -> Speed Gloves	1			100					4	"glov,mag,upg"	jew	r07	gpy				"usetype,crf"			100	swing1			10	15	dmg-min			5	10	dex			2	5																																																																					0
1 Magic Belt + 1 Jewel + 1 Nef Rune + 1 Perfect Topaz -> Speed Belt	1			100					4	"belt,mag,upg"	jew	r04	gpy				"usetype,crf"			100	balance1			10	15	stam			20	30	str			5	10																																																																					0
1 Magic Shield + 1 Jewel + 1 Ith Rune + 1 Perfect Topaz -> Speed Shield	1			100					4	"shie,mag,upg"	jew	r06	gpy				"usetype,crf"			100	block1			20	30	block			5	5	ac			15	25																																																																					0
1 Magic Chest + 1 Jewel + 1 Lum Rune + 1 Perfect Topaz -> Speed Body	1			100					4	"tors,mag,upg"	jew	r17	gpy				"usetype,crf"			100	balance1			10	20	res-all			10	15	ac			20	30																																																																					0
1 Magic Amulet + 1 Jewel + 1 Ort Rune + 1 Perfect Topaz -> Speed Amulet	1			100					4	"amul,mag"	jew	r09	gpy				"usetype,crf"			100	cast1			5	10	balance1			10	15	mana			10	20																																																																					0
1 Magic Ring + 1 Jewel + 1 Amn Rune + 1 Perfect Topaz -> Speed Ring	1			100					4	"ring,mag"	jew	r11	gpy				"usetype,crf"			100	swing1			5	5	att			15	50	dex			5	10																																																																					0
1 Magic Weapon + 1 Jewel + 1 Sol Rune + 1 Perfect Topaz -> Speed Weapon	1			100					4	"weap,mag"	jew	r12	gpy				"usetype,crf"			100	swing1			15	25	deadly			5	10	att%			5	10																																																																					0
1 Magic Helm + 1 Jewel + 1 Lem Rune + 1 Perfect Diamond -> Treasure Helm	1			100					4	"helm,mag,upg"	jew	r20	gpw				"usetype,crf"			100	mag%			10	20	gold%			5	10																																																																										0
1 Magic Boots + 1 Jewel + 1 Lem Rune + 1 Perfect Diamond -> Treasure Boots	1			100					4	"boot,mag,upg"	jew	r20	gpw				"usetype,crf"			100	gold%			15	20	move1			10	10																																																																										0
1 Magic Gloves + 1 Jewel + 1 Lem Rune + 1 Perfect Diamond -> Treasure Gloves	1			100					4	"glov,mag,upg"	jew	r20	gpw				"usetype,crf"			100	mag%			10	15	dex			2	5																																																																										0
1 Magic Belt + 1 Jewel + 1 Lem Rune + 1 Perfect Diamond -> Treasure Belt	1			100					4	"belt,mag,upg"	jew	r20	gpw				"usetype,crf"			100	gold%			10	20	regen-mana			5	10																																																																										0
1 Magic Shield + 1 Jewel + 1 Ko Rune + 1 Perfect Diamond -> Treasure Shield	1			100					4	"shie,mag,upg"	jew	r18	gpw				"usetype,crf"			100	mag%			5	10	res-all			5	10																																																																										0
1 Magic Chest + 1 Jewel + 1 Ist Rune + 1 Perfect Diamond -> Treasure Body	1			100					4	"tors,mag,upg"	jew	r24	gpw				"usetype,crf"			100	mag%			20	25	gold%			10	15																																																																										0
1 Magic Amulet + 1 Jewel + 1 Ist Rune + 1 Perfect Diamond -> Treasure Amulet	1			100					4	"amul,mag"	jew	r24	gpw				"usetype,crf"			100	gold%			20	30	mag%			5	10																																																																										0
1 Magic Ring + 1 Jewel + 1 Lem Rune + 1 Perfect Diamond -> Treasure Ring	1			100					4	"ring,mag"	jew	r18	gpw				"usetype,crf"			100	mag%			10	15	gold%			10	15																																																																										0
1 Magic Weapon + 1 Jewel + 1 Ist Rune + 1 Perfect Diamond -> Treasure Weapon	1			100					4	"weap,mag"	jew	r24	gpw				"usetype,crf"			100	gold%			15	20	dmg%			20	30																																																																										0
1 Magic Helm + 1 Jewel + 1 Dol Rune + 1 Perfect Skull -> Shadow Helm	1			100					4	"helm,mag,upg"	jew	r14	skz				"usetype,crf"			100	gethit-skill		267	1	10	regen-mana			3	5	manasteal			2	4																																																																					0
1 Magic Boots + 1 Jewel + 1 Ort Rune + 1 Perfect Skull -> Shadow Boots	1			100					4	"boot,mag,upg"	jew	r09	skz				"usetype,crf"			100	lifesteal			1	2	move1			10	15	openwounds			5	8																																																																					0
1 Magic Gloves + 1 Jewel + 1 Tal Rune + 1 Perfect Skull -> Shadow Gloves	1			100					4	"glov,mag,upg"	jew	r07	skz				"usetype,crf"			100	deadly			5	5	manasteal			2	4	dex			3	5																																																																					0
1 Magic Belt + 1 Jewel + 1 Eth Rune + 1 Perfect Skull -> Shadow Belt	1			100					4	"belt,mag,upg"	jew	r05	skz				"usetype,crf"			100	regen-mana			3	5	res-mag			3	5	openwounds			3	6																																																																					0
1 Magic Shield + 1 Jewel + 1 Ko Rune + 1 Perfect Skull -> Shadow Shield	1			100					4	"shie,mag,upg"	jew	r18	skz				"usetype,crf"			100	thorns			12	24	res-mag			5	10	red-mag			3	3																																																																					0
1 Magic Chest + 1 Jewel + 1 Fal Rune + 1 Perfect Skull -> Shadow Body	1			100					4	"tors,mag,upg"	jew	r19	skz				"usetype,crf"			100	heal-kill			5	10	red-mag			2	4	curse-res			3	5																																																																					0
1 Magic Amulet + 1 Jewel + 1 Lum Rune + 1 Perfect Skull -> Shadow Amulet	1			100					4	"amul,mag"	jew	r17	skz				"usetype,crf"			100	manasteal			2	4	deadly			5	5	regen-mana			3	5																																																																					0
1 Magic Ring + 1 Jewel + 1 Sol Rune + 1 Perfect Skull -> Shadow Ring	1			100					4	"ring,mag"	jew	r12	skz				"usetype,crf"			100	lifesteal			1	2	res-mag			3	5	openwounds			5	5																																																																					0
1 Magic Weapon + 1 Jewel + 1 Um Rune + 1 Perfect Skull -> Shadow Weapon	1			100					4	"weap,mag"	jew	r22	skz				"usetype,crf"			100	deadly			5	15	dmg%			25	25	openwounds			5	10																																																																					0
1 Rare Full Helm + 1 Jewel + 1 Ith Rune + 1 Perfect Sapphire -> Hit Power Helm	1			100					4	"helm,rar,upg"	jew	r06	gpb				"usetype,crf"			100	gethit-skill		44	5	4	thorns			3	7	ac-miss			25	50																																																																					0
1 Rare Chain Boots + 1 Jewel + 1 Ral Rune + 1 Perfect Sapphire -> Hit Power Boots	1			100					4	"boot,rar,upg"	jew	r08	gpb				"usetype,crf"			100	gethit-skill		44	5	4	thorns			3	7	ac-hth			25	60																																																																					0
1 Rare Chain Gloves + 1 Jewel + 1 Ort Rune + 1 Perfect Sapphire -> Hit Power Gloves	1			100					4	"glov,rar,upg"	jew	r09	gpb				"usetype,crf"			100	gethit-skill		44	5	4	thorns			3	7	knock			1	1																																																																					0
1 Rare Heavy Belt + 1 Jewel + 1 Tal Rune + 1 Perfect Sapphire -> Hit Power Belt	1			100					4	"belt,rar,upg"	jew	r07	gpb				"usetype,crf"			100	gethit-skill		44	5	4	thorns			3	7	dmg-to-mana			5	10																																																																					0
1 Rare Gothic Shield + 1 Jewel + 1 Eth Rune + 1 Perfect Sapphire -> Hit Power Shield	1			100					4	"shie,rar,upg"	jew	r05	gpb				"usetype,crf"			100	gethit-skill		44	5	4	thorns			3	10	block			5	10																																																																					0
1 Rare Field Plate + 1 Jewel + 1 Nef Rune + 1 Perfect Sapphire -> Hit Power Body	1			100					4	"tors,rar,upg"	jew	r04	gpb				"usetype,crf"			100	gethit-skill		44	5	4	thorns			3	10	balance1			10	20																																																																					0
1 Rare Amulet + 1 Jewel + Thul Rune + 1 Perfect Sapphire -> Hit Power Amulet	1			100					4	"amul,rar"	jew	r10	gpb				"usetype,crf"			100	gethit-skill		44	5	4	thorns			3	10	howl			5	15																																																																					0
1 Rare Ring + 1 Jewel + 1 Amn Rune + 1 Perfect Sapphire -> Hit Power Ring	1			100					4	"ring,rar"	jew	r11	gpb				"usetype,crf"			100	gethit-skill		44	5	4	thorns			3	6	dex			1	5																																																																					0
1 Rare Blunt Weapon + 1 Jewel + 1 Tir Rune + 1 Perfect Sapphire -> Hit Power Weapon	1			100					4	"weap,rar"	jew	r03	gpb				"usetype,crf"			100	gethit-skill		44	5	4	thorns			3	7	dmg%			35	60																																																																					0
1 Rare Helm + 1 Jewel + 1 Ral Rune + 1 Perfect Ruby -> Blood Helm	1			100					4	"helm,rar,upg"	jew	r08	gpr				"usetype,crf"			100	lifesteal			1	3	hp			10	20	deadly			5	10																																																																					0
1 Rare Light Plated Boots + 1 Jewel + 1 Eth Rune + 1 Perfect Ruby -> Blood Boots	1			100					4	"boot,rar,upg"	jew	r05	gpr				"usetype,crf"			100	lifesteal			1	3	hp			10	20	regen			5	10																																																																					0
1 Rare Heavy Gloves + 1 Jewel + 1 Nef Rune + 1 Perfect Ruby -> Blood Gloves	1			100					4	"glov,rar,upg"	jew	r04	gpr				"usetype,crf"			100	lifesteal			1	3	hp			10	20	crush			5	10																																																																					0
